ticker,eligible,entry_filter,stop_loss,take_profit,trailing_stop,max_holding_days,active_return,hold_return,excess,active_dd,hold_dd,active_sharpe,hold_sharpe,total_trades,win_rate,profit_factor,slippage_cost,oos_active_return,oos_hold_return,oos_excess,oos_active_sharpe
NVDA,True,composite,0.1,0.15,0.15,60,3.162617776001726,1.4450171192105032,1.7176006567912228,-0.2653566484228435,-0.6633509339907114,1.35888279809783,0.8135137977475003,27,0.6296296296296297,2.7030186911301213,0.13870612358758602,2.706422287753924,13.36576402569044,-10.659341737936517,1.0862010635063144
MSFT,True,above_50ma,0.075,,0.1,30,0.9472819204836072,0.5358117773711792,0.4114701431124279,-0.20837823305768324,-0.37148491846787307,1.0473352738538961,0.5863262906981466,23,0.5909090909090909,2.9004869834744857,0.07694332241556236,0.7251271302370064,0.6773682710164795,0.04775885922052692,0.8870433059832578
AAPL,True,ret20_pos,0.075,0.2,0.1,30,1.223456487332104,0.7662761711753237,0.45718031615678045,-0.25251004318006237,-0.3142727684377186,1.1292369402201277,0.6990472451020231,22,0.5909090909090909,2.595721120618357,0.08792080961172613,0.537518213658156,1.367243335593523,-0.829725121935367,0.7380608684162112
AMZN,True,composite,0.1,0.15,0.1,30,0.3971197281841161,-0.11486238461304699,0.5119821127971631,-0.315899306503759,-0.5614526325328256,0.5622863610334243,0.09103930075392948,21,0.42857142857142855,1.6539386814061554,0.06798893560651938,0.5671415264926425,1.7796551374975675,-1.212513611004925,0.655830973169618
GOOGL,True,qqq_above_50ma,0.1,0.15,0.1,30,0.6999761662993589,0.2892717104666749,0.410704455832684,-0.3348894324065206,-0.4432004767860624,0.8625054854138317,0.4185831334562906,21,0.6666666666666666,2.1380274787709843,0.07179876626467602,1.8576052518566564,3.0716941197828698,-1.2140888679262134,1.2459153851696072
META,True,qqq_above_50ma,0.075,0.2,0.1,30,0.39310868820279454,-0.42635143486292226,0.8194601230657168,-0.34932643990749734,-0.7673608668828519,0.5169542366172816,-0.1286088791055772,24,0.625,1.6879177846884124,0.0715208098292098,2.282554821473751,3.5809633392004523,-1.2984085177267013,1.1807248513434812
TSLA,True,composite,0.075,0.2,0.1,60,12.65788807487163,3.294380150594364,9.363507924277267,-0.3571941435636502,-0.7338829715606724,2.141396667782645,1.0355698006187102,28,0.6428571428571429,5.394876140934376,0.47658425464897414,0.07035954693494628,2.759759467277696,-2.6893999203427494,0.2484852564788784
NFLX,True,above_50ma,0.1,,0.1,30,1.1984394399709735,-0.10590940935169346,1.304348849322667,-0.2594996228409245,-0.7594731825161353,0.8821162243476233,0.2004447898273986,23,0.6363636363636364,2.5757794793202553,0.06540576107618667,0.638854830328814,1.7238512985910712,-1.0849964682622573,0.6595433315178125
AVGO,False,ret20_pos,0.075,,0.1,60,1.0646987053083246,0.9274582319675491,0.1372404733407755,-0.32867167983977813,-0.48299956551339557,1.017862721462503,0.7494670958855127,14,0.5384615384615384,2.845749443512498,0.044567068159062494,,,,
AMD,True,above_50ma,0.1,0.2,0.1,30,0.8243380095099495,0.3191445754770119,0.5051934340329376,-0.4737586668609376,-0.6544994295506877,0.702208237466128,0.4436181037723422,28,0.5,1.8142618011643186,0.1032504770500868,2.9230788358170288,6.990784663366951,-4.067705827549922,1.1183295708173775
TSM,True,qqq_above_50ma,0.075,0.15,,30,1.461693068748544,0.3219099526992215,1.1397831160493226,-0.22333633733273675,-0.5646657067727034,1.1292799494471975,0.432370285331691,22,0.5909090909090909,3.5973415057436604,0.09453702006491978,1.7619977129534403,5.0311787115990345,-3.269180998645594,1.0499008823785247
ASML,False,above_50ma,0.1,0.15,0.15,60,0.9658324112832568,0.8530378092471753,0.11279460203608149,-0.43344318082059,-0.5686184511737297,0.8458405710606893,0.6766325006421743,18,0.5882352941176471,2.357139115620463,0.06135118701140935,,,,
MU,True,composite,0.1,0.15,,30,0.12076296306793188,-0.08845226455552668,0.20921522762345857,-0.4618352056330707,-0.49627543513636957,0.2835542426895226,0.18182730573793537,20,0.5,1.2663427619746799,0.04582088676999373,2.409014596093443,18.779713037808136,-16.370698441714694,1.0247655326832417
ORCL,True,composite,0.075,,,30,0.8160578249468635,0.5926819895924231,0.2233758353544404,-0.3000199069314019,-0.4036480641221542,0.8476612380747468,0.6255222793753743,20,0.5789473684210527,2.6004783365926585,0.05783175370562446,-0.010111482759746715,1.2965773374656133,-1.30668882022536,0.14782704228009402
CRWD,True,composite,0.1,0.2,0.15,30,1.1490238992416573,1.1296521812330007,0.019371718008656558,-0.547158749671401,-0.6590490429713076,0.8413319314311682,0.7193752011981402,26,0.5384615384615384,1.8000882176415893,0.14822439347684238,1.6537638835544755,5.611154104020383,-3.957390220465908,0.9589436488266767
PANW,True,qqq_above_50ma,0.075,0.15,0.1,30,0.8886618238428547,0.7782590941175784,0.11040272972527632,-0.2795258326600223,-0.46802023366115075,0.8328885546608765,0.663605763673608,26,0.6153846153846154,1.912860443618076,0.08805241675231334,2.0590256431050538,3.039292181735764,-0.9802665386307101,1.0831436898360458
JPM,True,qqq_above_50ma,0.075,,0.15,30,0.23106440083240765,0.041577151075047114,0.18948724975736053,-0.3386637348282604,-0.43061967186000355,0.4010703655949064,0.2245629839431014,21,0.42857142857142855,1.457934661883976,0.05712772644849049,0.5917228802302803,1.5803627462053318,-0.9886398659750515,0.7589332677911124
BAC,True,composite,0.075,0.2,0.1,30,0.4593923325131599,-0.004768520593376069,0.464160853106536,-0.37676585674517443,-0.48484243212017086,0.627390595899974,0.20228821032482816,20,0.55,1.677868209312073,0.058910930081640105,-0.02803232936599287,0.8282723554689722,-0.856304684834965,0.055157850678524065
GS,False,composite,0.1,,,60,0.7677947737471924,0.567360125836152,0.20043464791104038,-0.28176058172463486,-0.45621004045413205,0.8473988406410511,0.5869365011196285,11,0.6,2.23596510950428,0.026705652908602495,,,,
COST,True,ret20_pos,0.075,,0.1,30,0.8735927568509105,0.6440559528895136,0.22953680396139697,-0.14363827255836992,-0.3140244731675857,1.1172847593691353,0.7494419757082643,21,0.6666666666666666,2.975925613082435,0.06037693219723365,0.4632596428058928,1.264400965057705,-0.8011413222518122,0.7136928244104546
