date,qqq_return,book_return_next_day
2018-03-26,0.037159,-0.042867
2018-10-25,0.034595,-0.015728
2018-11-07,0.031368,0.000847
2018-11-28,0.032183,-0.010935
2018-12-26,0.062439,0.00591
2019-01-04,0.042785,0.014312
2020-03-02,0.051604,-0.00418
2020-03-04,0.041722,-0.018883
2020-03-10,0.05445,-0.034103
2020-03-13,0.084706,-0.089666
2020-03-17,0.075842,-0.012074
2020-03-24,0.077438,-0.015139
2020-03-26,0.05266,-0.038202
2020-03-30,0.036373,-0.010042
2020-04-06,0.071495,-0.012805
2020-04-14,0.043491,-0.004766
2020-04-29,0.035461,0.008697
2020-10-12,0.03087,0.005039
2020-11-04,0.044639,0.028057
2021-03-01,0.030082,-0.017322
2021-03-09,0.039441,-0.007221
2021-12-07,0.030114,0.006756
2022-01-28,0.031369,0.028156
2022-01-31,0.031978,0.009302
2022-02-24,0.033604,0.013038
2022-03-09,0.035998,-0.016499
2022-03-15,0.031367,0.00916
2022-03-16,0.037087,0.027945
2022-04-28,0.035516,-0.027273
2022-05-04,0.033812,-0.032431
2022-05-13,0.03706,0.012382
2022-05-27,0.032639,-0.008475
2022-06-24,0.034264,-0.003299
2022-07-19,0.030753,0.016332
2022-07-27,0.04226,0.018431
2022-10-04,0.03144,0.002665
2022-10-17,0.033022,0.002407
2022-10-28,0.030601,-0.008432
2022-11-10,0.073789,0.020464
2022-11-30,0.045586,0.004254
2023-02-02,0.03589,-0.018392
2024-08-08,0.030591,0.006042
2025-04-09,0.120031,-0.022288
2025-05-12,0.04074,0.017823
2026-03-31,0.033854,0.020989
2026-06-11,0.033776,0.009277
2026-06-15,0.031414,-0.038018
