section,metric,value
predictiveness,corr[return_1d|fwd_5d],0.012606747187853528
predictiveness,corr[return_1d|fwd_10d],0.004837514702699781
predictiveness,corr[return_1d|fwd_20d],0.03922314482011186
predictiveness,corr[return_5d|fwd_5d],-0.011086601573583738
predictiveness,corr[return_5d|fwd_10d],0.04705822657487686
predictiveness,corr[return_5d|fwd_20d],0.09708154948786736
predictiveness,corr[return_20d|fwd_5d],0.06176914275620722
predictiveness,corr[return_20d|fwd_10d],0.11179543296226534
predictiveness,corr[return_20d|fwd_20d],0.17496663916086896
predictiveness,corr[vol_ratio|fwd_5d],0.002539280631884104
predictiveness,corr[vol_ratio|fwd_10d],-0.019379615832569856
predictiveness,corr[vol_ratio|fwd_20d],0.014820205981689686
predictiveness,corr[vol_adj_mom_20d|fwd_5d],0.07301756809482528
predictiveness,corr[vol_adj_mom_20d|fwd_10d],0.11179850427803498
predictiveness,corr[vol_adj_mom_20d|fwd_20d],0.1501709848575651
predictiveness,corr[composite_score|fwd_5d],0.045655176252594104
predictiveness,corr[composite_score|fwd_10d],0.079568520303072
predictiveness,corr[composite_score|fwd_20d],0.11165141331799264
predictiveness,Q1_avg_fwd_5d,0.005036955610693235
predictiveness,Q1_win_5d,0.49217485159201296
predictiveness,Q1_avg_fwd_10d,0.00801145876416968
predictiveness,Q1_win_10d,0.4830316742081448
predictiveness,Q1_avg_fwd_20d,0.02380289319259153
predictiveness,Q1_win_20d,0.516270337922403
predictiveness,Q2_avg_fwd_5d,0.005663587119675445
predictiveness,Q2_win_5d,0.5137614678899083
predictiveness,Q2_avg_fwd_10d,0.00820012024845944
predictiveness,Q2_win_10d,0.5054086538461539
predictiveness,Q2_avg_fwd_20d,0.017149406369389074
predictiveness,Q2_win_20d,0.5039893617021277
predictiveness,Q3_avg_fwd_5d,0.0006361428268490455
predictiveness,Q3_win_5d,0.478143550998381
predictiveness,Q3_avg_fwd_10d,0.006473163313131298
predictiveness,Q3_win_10d,0.47171945701357465
predictiveness,Q3_avg_fwd_20d,0.017942533682731326
predictiveness,Q3_win_20d,0.4662077596996245
predictiveness,Q4_avg_fwd_5d,0.004587182541604397
predictiveness,Q4_win_5d,0.48853211009174313
predictiveness,Q4_avg_fwd_10d,0.017235595683833187
predictiveness,Q4_win_10d,0.4951923076923077
predictiveness,Q4_avg_fwd_20d,0.04245911030693078
predictiveness,Q4_win_20d,0.5186170212765957
predictiveness,Q5_avg_fwd_5d,0.017050834859504725
predictiveness,Q5_win_5d,0.5412844036697247
predictiveness,Q5_avg_fwd_10d,0.034810501095895424
predictiveness,Q5_win_10d,0.5559954751131222
predictiveness,Q5_avg_fwd_20d,0.07515728272911551
predictiveness,Q5_win_20d,0.5607008760951189
predictiveness,spread_5d,0.01201387924881149
predictiveness,spread_10d,0.026799042331725746
predictiveness,spread_20d,0.05135438953652398
attribution,raw_avg_return_5d,0.023007662400927196
attribution,raw_win_rate_5d,0.5601851851851852
attribution,raw_avg_return_10d,0.047039819874001125
attribution,raw_win_rate_10d,0.6019417475728155
attribution,raw_avg_return_20d,0.12294264706496187
attribution,raw_win_rate_20d,0.6344086021505376
attribution,raw_avg_return_30d,0.1815080399161425
attribution,raw_win_rate_30d,0.6566265060240963
pnl_by_ticker,MU,16642.701
pnl_by_ticker,INTC,14932.6
pnl_by_ticker,ON,7747.3428
pnl_by_ticker,KLAC,4256.246599999999
pnl_by_ticker,DELL,3888.485999999999
pnl_by_ticker,LRCX,3527.36
pnl_by_ticker,ADI,3260.96
pnl_by_ticker,AMAT,3069.96
pnl_by_ticker,CRWD,2604.9627999999984
pnl_by_ticker,PANW,2226.499
pnl_by_ticker,TSM,2139.2
pnl_by_ticker,MDB,1798.7580000000005
pnl_by_ticker,ASML,1681.99
pnl_by_ticker,QCOM,502.67319999999967
pnl_by_ticker,CSCO,123.31440000000038
pnl_by_ticker,OXY,-515.82
pnl_by_ticker,MCHP,-1339.07
pnl_by_ticker,TXN,-1359.7
pnl_by_ticker,SNPS,-1540.54
pnl_by_ticker,PLUG,-1792.19
pnl_by_ticker,SEDG,-2386.466400000001
pnl_by_ticker,ZS,-3439.91
pnl_by_group,semiconductors,16642.701
pnl_by_group,software_cybersecurity,4831.461799999998
turnover,total_trades,41.0
turnover,trades_per_month,7.518313253012049
turnover,avg_holding_days,62.66666666666667
turnover,stop_then_reentry_count,0.0
capture,avg_exposure,0.9037294602196034
capture,max_exposure,0.9876585624004064
capture,avg_cash_pct,0.09627054035479504
capture,corr_spy,0.7071011686833966
capture,corr_qqq,0.7871168740059553
capture,beta_spy,2.0326569734962563
capture,beta_qqq,1.5600036682369947
capture,up_capture_qqq,1.8372262362124245
capture,down_capture_qqq,1.5519957561223177
